round_num,player_id,player_name,player_nickname,position,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
30,38162,,Fred,ATA,282.0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,6.6,19.01
30,50294,,Guilherme,MEI,264.0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,16.3,14.3
30,50301,,Everton,MEI,262.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2,11.89
30,50317,,David Braz,ZAG,277.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4.2,7.6
30,68725,,Diego Renan,LAT,287.0,0,0,0,1,2,0,0,0,4,0,0,0,2,0,0,0,0,1,4.1,13.05
30,63158,,Moisés,MEI,275.0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,1,-0.8,8.64
30,93697,,Gervasio Núñez,MEI,263.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,2.92
30,68953,,Leandro Damião,ATA,262.0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,3.6,8.74
30,80318,,Ezequiel ,LAT,283.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,3.2,3.5
30,91094,,Ábila,ATA,283.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,-2.1,9.16
30,73421,,Rafael Vaz,ZAG,262.0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0.5,10.04
30,38021,,Wendel,MEI,303.0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,6.4,8.09
30,38219,,Alex,MEI,285.0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,0,0,0,0,2.9,4.48
30,38246,,Robinho,ATA,282.0,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,-1.1,19.96
30,50407,,Marquinho,MEI,266.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.9,6.67
30,70874,,Rhayner,ATA,303.0,1,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,8.8,5.84
30,68685,,Alan Patrick,MEI,262.0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,2,-0.1,10.8
30,63172,,Paulão,ZAG,285.0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,-1.6,7.0
30,68770,,Camacho,MEI,264.0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.4,5.37
30,68950,,Ronaldo Alves,ZAG,292.0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0.5,5.54
30,81881,,João Ricardo,GOL,327.0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,5.7,6.02
30,81898,,Osman,MEI,327.0,0,0,1,1,2,1,0,0,4,0,0,0,1,0,0,0,0,1,6.4,8.44
30,88651,,Vinícius Tanque,ATA,263.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,2,-3.4,0.8
30,90307,,Juninho,ATA,293.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,-2.8,1.1
30,42411,,Cuca,TEC,275.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,14.22
30,68987,,João Vitor,MEI,303.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,4,-4.9,2.43
30,69033,,Tony,MEI,327.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1.3,5.2
30,89154,,Gabriel Jesus,ATA,275.0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,0,1,0,2,-2.0,26.45
30,87192,,Zeca,LAT,277.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2.2,9.94
30,88225,,Daniel Guedes ,LAT,277.0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,3.6,2.91
30,87887,,Balbuena,ZAG,264.0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,3.2,4.28
30,87999,,Gustavo Scarpa,MEI,266.0,0,0,0,0,2,5,0,0,8,0,0,0,2,0,0,1,0,2,1.9,14.63
30,88065,,Jorge,LAT,262.0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,3,6.1,19.65
30,88087,,Ramon,ZAG,287.0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,-0.1,4.33
30,78500,,Sérgio Manoel,MEI,315.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,-3.4,2.37
30,89637,,Thiago Maia,MEI,277.0,0,0,0,0,0,4,0,0,2,0,0,0,3,0,0,0,0,3,5.0,5.28
30,90569,,Yuri,MEI,277.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,2.32
30,87482,,Gimenez,LAT,315.0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,3,7.9,6.18
30,87402,,Messias,ZAG,327.0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1.6,1.06
30,87863,,Arrascaeta,MEI,283.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,18.47
30,89898,,Róger Guedes,ATA,275.0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0.3,10.76
30,62130,,William Matheus,LAT,266.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,-3.7,5.89
30,80129,,Jadson,MEI,344.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.1,2.6
30,88002,,Serginho,MEI,287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.53
30,68744,,Emerson,ATA,262.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,-1.0,1.09
30,68758,,Fernandinho,ATA,262.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,8.7,8.26
30,68928,,Rafael,GOL,283.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,8.5,5.62
30,68887,,Gum,ZAG,266.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,-0.9,13.28
30,68808,,Nino Paraíba,LAT,303.0,0,1,0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,4,10.6,6.84
30,68834,,Rithely,MEI,292.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,9.32
30,88479,,Walace,MEI,284.0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,1,4.2,12.06
30,89275,,William,LAT,285.0,0,0,0,1,0,1,0,0,7,0,0,0,1,0,0,1,0,4,-2.9,12.71
30,78548,,Jean Mota,MEI,277.0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,-0.2,4.74
30,82411,,Cueva,ATA,276.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,8.6
30,72168,,João Paulo,MEI,344.0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1.3,8.24
30,72290,,Jailson,GOL,275.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,7.7,4.49
30,72334,,Ayrton,LAT,316.0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,4.3,10.48
30,72362,,Rodrigo Lindoso,MEI,263.0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,1,4.2,13.06
30,37673,,Alecsandro,ATA,275.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,6.0
30,37701,,Léo Moura,LAT,344.0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,3.7,8.35
30,73384,,Samuel Xavier,LAT,292.0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,3,-0.1,6.42
30,72007,,Uillian Correia,MEI,344.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-1.2,7.77
30,71117,,Vander,ATA,287.0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0.3,2.69
30,80944,,Marlone,MEI,264.0,1,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,15.9,6.98
30,81770,,Clayton,ATA,282.0,0,1,0,2,1,1,0,0,2,0,0,0,1,0,0,0,0,1,8.8,8.06
30,81223,,Erazo,ZAG,282.0,0,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,0,0,8.3,6.79
30,74210,,César González,MEI,294.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.0,1.64
30,78715,,Ramiro,MEI,284.0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0.7,5.71
30,78979,,Edson Kölln,GOL,344.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,-8.9,0.8
30,95693,,Rodney Wallace,ATA,292.0,0,0,0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,3,1.3,4.54
30,71571,,Fernando Miguel,GOL,287.0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,4.4,6.25
30,73800,,Rodrigo Caio,ZAG,276.0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1.3,10.83
30,78632,,Bryan,LAT,283.0,0,0,0,0,2,2,0,0,2,1,0,0,1,0,0,0,0,2,7.5,6.93
30,79276,,Nery Bareiro,ZAG,294.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2.5,3.26
30,80913,,Nixon,ATA,327.0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3.1,2.96
30,71631,,Weverton,GOL,293.0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,1,0,9.0,6.45
30,79035,,Luiz Felipe,ZAG,277.0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1.9,6.83
30,80853,,Pedro Geromel,ZAG,284.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,6.2,20.65
