round_num,player_id,player_name,player_nickname,position,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price,price_delta
30,38162,Frederico Chaves Guedes,Fred,ATA,282.0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,6.6,19.01,0.73
30,50294,Guilherme Milhomem Gusmão,Guilherme,MEI,264.0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,16.3,14.3,2.14
30,50301,Everton Cardoso da Silva,Everton,MEI,262.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2,11.89,-0.78
30,50317,David Braz de Oliveira Filho,David Braz,ZAG,277.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4.2,7.6,0.69
30,68725,,Diego Renan,LAT,287.0,0,0,0,1,2,0,0,0,4,0,0,0,2,0,0,0,0,1,4.1,13.05,0.17
30,63158,Moisés Lima Magalhães,Moisés,MEI,275.0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,1,-0.8,8.64,-0.45
30,93697,,Gervasio Núñez,MEI,263.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5,2.92,-0.21
30,68953,Leandro Damião da Silva dos Santos,Leandro Damião,ATA,262.0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,3.6,8.74,0.63
30,80318,Ezequiel Jacinto de Biasi,Ezequiel ,LAT,283.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,3.2,3.5,-1.11
30,91094,,Ábila,ATA,283.0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,-2.1,9.16,-1.65
30,73421,Rafael Vaz dos Santos,Rafael Vaz,ZAG,262.0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0.5,10.04,-1.11
30,38021,,Wendel,MEI,303.0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,6.4,8.09,0.93
30,38219,,Alex,MEI,285.0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,0,0,0,0,2.9,4.48,0.41
30,38246,,Robinho,ATA,282.0,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,-1.1,19.96,-1.16
30,50407,,Marquinho,MEI,266.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.9,6.67,0.03
30,70874,Rhayner Santos Nascimento,Rhayner,ATA,303.0,1,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,8.8,5.84,1.01
30,68685,,Alan Patrick,MEI,262.0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,2,-0.1,10.8,-0.12
30,63172,Paulo Marcos de Jesus Ribeiro,Paulão,ZAG,285.0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,-1.6,7.0,-1.73
30,68770,Guilherme de Aguiar Camacho,Camacho,MEI,264.0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.4,5.37,0.85
30,68950,Ronaldo Luiz Alves,Ronaldo Alves,ZAG,292.0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0.5,5.54,-0.77
30,81881,João Ricardo Riedi,João Ricardo,GOL,327.0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,5.7,6.02,1.07
30,81898,Osman de Menezes Venâncio Junior,Osman,MEI,327.0,0,0,1,1,2,1,0,0,4,0,0,0,1,0,0,0,0,1,6.4,8.44,1.17
30,88651,,Vinícius Tanque,ATA,263.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,2,-3.4,0.8,-0.73
30,90307,,Juninho,ATA,293.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,-2.8,1.1,-0.53
30,42411,Alexi Stival,Cuca,TEC,275.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,14.22,-0.49
30,68987,,João Vitor,MEI,303.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,4,-4.9,2.43,-0.85
30,69033,,Tony,MEI,327.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,-1.3,5.2,-0.01
30,89154,,Gabriel Jesus,ATA,275.0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,0,1,0,2,-2.0,26.45,-0.94
30,87192,José Carlos Cracco Neto,Zeca,LAT,277.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2.2,9.94,0.04
30,88225,Daniel Guedes da Silva,Daniel Guedes ,LAT,277.0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,3.6,2.91,0.68
30,87887,Fabián Cornelio Balbuena González,Balbuena,ZAG,264.0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,3.2,4.28,-0.29
30,87999,Gustavo Henrique Furtado Scarpa,Gustavo Scarpa,MEI,266.0,0,0,0,0,2,5,0,0,8,0,0,0,2,0,0,1,0,2,1.9,14.63,-0.63
30,88065,Jorge Marco de Oliveira Moraes,Jorge,LAT,262.0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,3,6.1,19.65,-0.17
30,88087,Ramon Menezes Roma,Ramon,ZAG,287.0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,-0.1,4.33,-0.08
30,78500,,Sérgio Manoel,MEI,315.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,-3.4,2.37,-1.15
30,89637,,Thiago Maia,MEI,277.0,0,0,0,0,0,4,0,0,2,0,0,0,3,0,0,0,0,3,5.0,5.28,0.63
30,90569,Yuri Oliveira Lima,Yuri,MEI,277.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,2.32,-0.12
30,87482,,Gimenez,LAT,315.0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,3,7.9,6.18,1.5
30,87402,Messias Rodrigues da Silva Júnior,Messias,ZAG,327.0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1.6,1.06,0.24
30,87863,Giorgian Daniel de Arrascaeta Benedetti,Arrascaeta,MEI,283.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,18.47,-0.95
30,89898,Róger Krug Guedes,Róger Guedes,ATA,275.0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0.3,10.76,-0.38
30,62130,,William Matheus,LAT,266.0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,-3.7,5.89,-0.93
30,80129,Jadson Alves dos Santos,Jadson,MEI,344.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2.1,2.6,0.39
30,88002,Sergio Antonio Soler de Oliveira Junior,Serginho,MEI,287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.53,-0.27
30,68744,Márcio Passos de Albuquerque,Emerson,ATA,262.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,-1.0,1.09,-1.62
30,68758,,Fernandinho,ATA,262.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,8.7,8.26,1.34
30,68928,Rafael Pires Monteiro,Rafael,GOL,283.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,8.5,5.62,0.61
30,68887,Welington Pereira Rodrigues,Gum,ZAG,266.0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,-0.9,13.28,-0.54
30,68808,Severino do Ramo Clementino da Silva,Nino Paraíba,LAT,303.0,0,1,0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,4,10.6,6.84,1.84
30,68834,Francisco Rithely da Silva Sousa,Rithely,MEI,292.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,9.32,-0.49
30,88479,,Walace,MEI,284.0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,1,4.2,12.06,0.29
30,89275,,William,LAT,285.0,0,0,0,1,0,1,0,0,7,0,0,0,1,0,0,1,0,4,-2.9,12.71,-1.99
30,78548,Jean Mota Oliveira de Sousa,Jean Mota,MEI,277.0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,-0.2,4.74,-1.44
30,82411,Christian Alberto Cueva Bravo,Cueva,ATA,276.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,8.6,-0.41
30,72168,João Paulo Mior,João Paulo,MEI,344.0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1.3,8.24,-0.98
30,72290,Jailson Marcelino dos Santos,Jailson,GOL,275.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,7.7,4.49,0.53
30,72334,,Ayrton,LAT,316.0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,4.3,10.48,-0.14
30,72362,Rodrigo Oliveira Lindoso,Rodrigo Lindoso,MEI,263.0,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,1,4.2,13.06,1.01
30,37673,,Alecsandro,ATA,275.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,6.0,-1.3
30,37701,Leonardo da Silva Moura,Léo Moura,LAT,344.0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,3.7,8.35,0.36
30,73384,Samuel Xavier Brito,Samuel Xavier,LAT,292.0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,3,-0.1,6.42,-0.99
30,72007,Uillian Correia Granemann,Uillian Correia,MEI,344.0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-1.2,7.77,-0.53
30,71117,,Vander,ATA,287.0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0.3,2.69,0.43
30,80944,Johnath Marlone Azevedo da Silva,Marlone,MEI,264.0,1,1,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,15.9,6.98,2.1
30,81770,Clayton Silveira da Silva,Clayton,ATA,282.0,0,1,0,2,1,1,0,0,2,0,0,0,1,0,0,0,0,1,8.8,8.06,1.38
30,81223,Frickson Rafael  Erazo Vivero,Erazo,ZAG,282.0,0,0,0,0,0,0,0,0,6,1,0,0,3,0,0,0,0,0,8.3,6.79,1.36
